i,t,Sg,Se,Pop,Sg_pc,Se_pc
29,2009,1056462.81,541169.67,14637364,0.0721757558259807,0.03697179833746022
29,2010,1273406.05,498360.45,14367449,0.08863132557491592,0.034686773553189575
29,2011,1588825.7,254228.59,14097534,0.11270238468657,0.018033550406759084
29,2012,1842729.92,197612.31,14175341,0.12999545619396385,0.013940568343294175
29,2013,1943731.38,245539.53,15044137,0.12920191965813657,0.016321277185922994
29,2014,2145017.18,271186.74,15126371,0.141806463691787,0.0179280767343337
29,2015,2050793.53,508118.76,15203334,0.1348910396890577,0.03342153503961697
29,2016,2210592.76,306047.15,15276566,0.14470482175117103,0.0200337660963858
29,2017,2251135.71,277356.95,15344447,0.14670686470486685,0.018075395613800876
29,2018,2010769.64,501277.13,14812617,0.13574708912003866,0.03384122670558484
29,2019,2043682.94,594999.6,14873064,0.13740833361572302,0.04000517983382577
29,2020,2001075.8,494275.91,14930634,0.13402483779322433,0.03310481725022527
29,2021,2064159.04,465818.99,14985284,0.1377457404210691,0.031085095884735986
29,2022,2148656.52,465908.84,14985284,0.1433844376923387,0.031091091767096308
29,2023,2336946.25,472202.86,14985284,0.1559494134378768,0.03151110516157051
31,2006,2698050.56,371414.32,19479356,0.13850820119515245,0.01906707388067655
31,2007,2827568.22,602743.95,19664708,0.14378897566137266,0.03065105009441279
31,2008,2924880.57,957199.81,19850060,0.1473487017167706,0.04822150713902124
31,2009,3008093.69,1204429.53,20033665,0.15015194124489953,0.06012027904030541
31,2010,3677903.76,838161.04,19881183,0.1849942108575732,0.04215850938045287
31,2011,4099918.36,568764.82,19728701,0.20781491695778653,0.028829309136977642
31,2012,4459305.49,524092.21,19855332,0.22458982252223234,0.026395539999028977
31,2013,4655426.52,726896.12,20593356,0.22606448992577993,0.03529760375142352
31,2014,4986074.28,749658.98,20734097,0.24047704030708453,0.03615585380930744
31,2015,4296429.03,1789938.3,20869101,0.20587513712258138,0.0857697847166488
31,2016,4512741.38,1447289.1,20997560,0.21491741802380848,0.06892653717860552
31,2017,4570210.88,1468581.61,21119536,0.2163973147894916,0.06953664180879732
31,2018,3572714.95,2488314.95,21040662,0.16980050104887384,0.11826219868937585
31,2019,3300671.72,3190914.71,21168791,0.15592159797883592,0.15073674779065085
31,2020,3239443.27,2743683.85,21292666,0.15213892285728806,0.12885581589454323
31,2021,3690060.85,2331020.92,21411923,0.17233673266992414,0.10886555682084229
31,2022,4282417.37,1913184.37,21411923,0.20000153045571853,0.08935135671840405
31,2023,4793983.96,1864915.59,21411923,0.22389320006428193,0.087097062230235
32,2006,461645.14,42426.78,3464285,0.13325841840379762,0.012246908092145998
32,2007,474983.77,70831.09,3458966,0.13731958336682118,0.020477532881213633
32,2008,485291.81,137246.77,3453646,0.14051579403332015,0.0397396751143574
32,2009,511197.59,172831.93,3487199,0.14659260627225462,0.04956182024599112
32,2010,638223.62,85759.13,3517127,0.18146163615928568,0.024383290680148884
32,2011,715752.59,55732.65,3547055,0.20178784653747966,0.01571237265844482
32,2012,821777.45,47371.0,3578067,0.22967078313513972,0.013239271371944684
32,2013,861718.45,41948.7,3839366,0.22444290281259976,0.010925944543968977
32,2014,934933.59,42008.75,3885049,0.24064911150412774,0.010812926683807591
32,2015,917021.22,63513.2,3929911,0.2333440172054787,0.016161485590895062
32,2016,947149.01,41293.6,3973697,0.23835461284541826,0.010391733441175811
32,2017,937560.44,33730.63,4016356,0.23343559186486457,0.008398316782675639
32,2018,909645.08,53054.62,3972388,0.22899200178834495,0.013355850435556649
32,2019,932664.15,61911.12,4018650,0.23208394610130267,0.015405949759247509
32,2020,904269.24,40861.24,4064052,0.22250434787743859,0.010054310328706424
32,2021,1040631.46,53869.41,4108508,0.25328694990979694,0.013111672169069648
32,2022,1005041.94,44001.58,4108508,0.2446245547045302,0.010709868399915492
32,2023,1003131.81,65648.28,4108508,0.24415963410561695,0.015978618028734518
33,2006,1660802.99,224254.94,15561720,0.10672361345661019,0.014410678254074742
33,2007,1635151.71,359404.27,15717041,0.10403686737217266,0.02286717137150689
33,2008,1616429.48,677059.6,15872362,0.10183925240616362,0.04265651199235501
33,2009,1636890.68,872813.85,16010429,0.10223902682432806,0.05451533185025835
33,2010,1867262.45,746457.54,16061554,0.1162566492632033,0.046474801877825773
33,2011,2280077.81,531759.96,16112678,0.14150830855057117,0.033002580948989356
33,2012,2470659.32,435277.07,16231365,0.15221512916504557,0.026817034180427832
33,2013,2616821.21,583074.86,16369179,0.159862703560148,0.035620287370551694
33,2014,2861013.38,590305.33,16461173,0.17380373682969008,0.03586046571529258
33,2015,2733573.24,664315.16,16550024,0.16517034899768124,0.04013983061293446
33,2016,2684903.52,480808.2,16635996,0.16139120975984847,0.028901678023966825
33,2017,2522844.54,473762.91,16718956,0.15089725339309465,0.028336871632415325
33,2018,2001603.03,746351.28,17159960,0.11664380511376483,0.04349376571973362
33,2019,2033178.94,796981.16,17264943,0.11776343194414253,0.04616181820003692
33,2020,1854930.42,563744.29,17366189,0.10681275091501077,0.03246217635890062
33,2021,1852349.68,585565.77,17463349,0.1060707015590194,0.033531126818802055
33,2022,2093310.86,558769.67,17463349,0.11986880981420002,0.03199670750438533
33,2023,2433867.41,707960.96,17463349,0.13937002633343698,0.04053981627464468
35,2006,7041660.74,3743678.35,41055734,0.17151467173866627,0.09118527390108286
35,2007,7153912.53,5545120.15,41033686,0.1743424300220068,0.13513580403183864
